Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1865	28	0.21893
1865	29	0.22779
1865	30	0.23387
1865	31	0.23726
1865	32	0.23813
1865	33	0.23724
1865	34	0.23473
1865	35	0.23039
1865	36	0.22408
1865	37	0.21538
1865	38	0.20416
1865	39	0.19027
1865	40	0.1735
1865	41	0.15313
1865	42	0.1293
1865	43	0.10344
1865	44	0.07659
1865	45	0.05195
1865	46	0.03081
1865	47	0.0157
1865	48	0.00673
1865	49	0.00196
1865	50+	0
1866	14-	0
1866	15	0.01389
1866	16	0.01313
1866	17	0.00671
1866	18	0
1866	19	0.00647
1866	20	0.03263
1866	21	0.06731
1866	22	0.10635
1866	23	0.14108
1866	24	0.16923
1866	25	0.18957
1866	26	0.20307
1866	27	0.21523
1866	28	0.22687
1866	29	0.23608
1866	30	0.24243
1866	31	0.24598
1866	32	0.2469
1866	33	0.24599
1866	34	0.24339
1866	35	0.23888
1866	36	0.23232
1866	37	0.22329
1866	38	0.21165
1866	39	0.19724
1866	40	0.17985
1866	41	0.15873
1866	42	0.13402
1866	43	0.10721
1866	44	0.07939
1866	45	0.05386
1866	46	0.03195
1866	47	0.01628
1866	48	0.00698
1866	49	0.00204
1866	50+	0
1867	14-	0
1867	15	0.01325
1867	16	0.01256
1867	17	0.00653
1867	18	0
1867	19	0.00639
1867	20	0.03118
1867	21	0.06402
1867	22	0.10097
1867	23	0.13383
1867	24	0.1605
1867	25	0.17977
1867	26	0.19256
1867	27	0.20409
1867	28	0.21513
1867	29	0.22387
1867	30	0.22989
1867	31	0.23323
1867	32	0.23407
1867	33	0.23317
1867	34	0.23066
1867	35	0.22636
1867	36	0.22011
1867	37	0.21154
1867	38	0.2005
1867	39	0.18684
1867	40	0.17038
1867	41	0.15037
1867	42	0.12698
1867	43	0.10159
1867	44	0.07526
1867	45	0.05107
1867	46	0.03031
1867	47	0.01546
1867	48	0.00664
1867	49	0.00194
1867	50+	0
1868	14-	0
1868	15	0.01307
1868	16	0.01246
1868	17	0.00656
1868	18	0
1868	19	0.00626
1868	20	0.03039
1868	21	0.06253
1868	22	0.09887
1868	23	0.13124
1868	24	0.15753
1868	25	0.17652
1868	26	0.1891
1868	27	0.20041
1868	28	0.2112
1868	29	0.21971
1868	30	0.22554
1868	31	0.22878
1868	32	0.22961
1868	33	0.22876
1868	34	0.22635
1868	35	0.22217
1868	36	0.21609
1868	37	0.20771
1868	38	0.1969
1868	39	0.1835
1868	40	0.16732
1868	41	0.14767
1868	42	0.12469
1868	43	0.09976
1868	44	0.07388
1868	45	0.05012
1868	46	0.02974
1868	47	0.01516
1868	48	0.00651
1868	49	0.00191
1868	50+	0
1869	14-	0
1869	15	0.01275
1869	16	0.01214
1869	17	0.00636
1869	18	0
1869	19	0.00615
1869	20	0.02986
1869	21	0.06133
1869	22	0.09678
1869	23	0.12837
1869	24	0.15403
1869	25	0.17262
1869	26	0.18499
1869	27	0.19616
1869	28	0.20685
1869	29	0.21529
1869	30	0.2211
1869	31	0.22431
